SSE,SZSE,INTERBANK_BM,HKEX,NASDAQ,NYSE
2018/6/22,2018/6/22,2015-06-26,2018/5/11,2018/5/11,2018/5/11
2018/6/29,2018/6/29,2015-07-03,2018/5/18,2018/5/18,2018/5/18
2018/7/6,2018/7/6,2015-07-10,2018/5/25,2018/5/25,2018/5/25
2018/7/13,2018/7/13,2015-07-17,2018/6/1,2018/6/1,2018/6/1
2018/7/20,2018/7/20,2015-07-24,2018/6/8,2018/6/8,2018/6/8
2018/7/27,2018/7/27,2015-07-31,2018/6/15,2018/6/15,2018/6/15
2018/8/3,2018/8/3,2015-08-07,2018/6/22,2018/6/22,2018/6/22
2018/8/10,2018/8/10,2015-08-14,2018/6/29,2018/6/29,2018/6/29
2018/8/17,2018/8/17,2015-08-21,2018/7/6,2018/7/6,2018/7/6
2018/8/24,2018/8/24,2015-08-28,2018/7/13,2018/7/13,2018/7/13
2018/8/31,2018/8/31,2015-09-02,2018/7/20,2018/7/20,2018/7/20
2018/9/7,2018/9/7,2015-09-11,2018/7/27,2018/7/27,2018/7/27
2018/9/14,2018/9/14,2015-09-18,2018/8/3,2018/8/3,2018/8/3
2018/9/21,2018/9/21,2015-09-25,2018/8/10,2018/8/10,2018/8/10
2018/9/28,2018/9/28,2015-09-30,2018/8/17,2018/8/17,2018/8/17
2018/10/12,2018/10/12,2015-10-09,2018/8/24,2018/8/24,2018/8/24
2018/10/19,2018/10/19,2015-10-16,2018/8/31,2018/8/31,2018/8/31
2018/10/26,2018/10/26,2015-10-23,2018/9/7,2018/9/7,2018/9/7
2018/11/2,2018/11/2,2015-10-30,2018/9/14,2018/9/14,2018/9/14
,,2015-11-06,2018/9/21,2018/9/21,2018/9/21
,,2015-11-13,2018/9/28,2018/9/28,2018/9/28
,,2015-11-20,2018/10/5,2018/10/5,2018/10/5
,,2015-11-27,2018/10/12,2018/10/12,2018/10/12
,,2015-12-04,2018/10/19,2018/10/19,2018/10/19
,,2015-12-11,2018/10/26,2018/10/26,2018/10/26
,,2015-12-18,2018/11/2,2018/11/2,2018/11/2
,,2015-12-25,,,
,,2015-12-31,,,
,,2016-01-08,,,
,,2016-01-15,,,
,,2016-01-22,,,
,,2016-01-29,,,
,,2016-02-05,,,
,,2016-02-19,,,
,,2016-02-26,,,
,,2016-03-04,,,
,,2016-03-11,,,
,,2016-03-18,,,
,,2016-03-25,,,
,,2016-04-01,,,
,,2016-04-08,,,
,,2016-04-15,,,
,,2016-04-22,,,
,,2016-04-29,,,
,,2016-05-06,,,
,,2016-05-13,,,
,,2016-05-20,,,
,,2016-05-27,,,
,,2016-06-03,,,
,,2016-06-08,,,
,,2016-06-17,,,
,,2016-06-24,,,
,,2016-07-01,,,
,,2016-07-08,,,
,,2016-07-15,,,
,,2016-07-22,,,
,,2016-07-29,,,
,,2016-08-05,,,
,,2016-08-12,,,
,,2016-08-19,,,
,,2016-08-26,,,
,,2016-09-02,,,
,,2016-09-09,,,
,,2016-09-14,,,
,,2016-09-23,,,
,,2016-09-30,,,
,,2016-10-14,,,
,,2016-10-21,,,
,,2016-10-28,,,
,,2016-11-04,,,
,,2016-11-11,,,
,,2016-11-18,,,
,,2016-11-25,,,
,,2016-12-02,,,
,,2016-12-09,,,
,,2016-12-16,,,
,,2016-12-23,,,
,,2016-12-30,,,
,,2017-01-06,,,
,,2017-01-13,,,
,,2017-01-20,,,
,,2017-01-26,,,
,,2017-02-03,,,
,,2017-02-10,,,
,,2017-02-17,,,
,,2017-02-24,,,
,,2017-03-03,,,
,,2017-03-10,,,
,,2017-03-17,,,
,,2017-03-24,,,
,,2017-03-31,,,
,,2017-04-07,,,
,,2017-04-14,,,
,,2017-04-21,,,
,,2017-04-28,,,
,,2017-05-05,,,
,,2017-05-12,,,
,,2017-05-19,,,
,,2017-05-26,,,
,,2017-06-02,,,
,,2017-06-09,,,
,,2017-06-16,,,
,,2017-06-23,,,
,,2017-06-30,,,
,,2017-07-07,,,
,,2017-07-14,,,
,,2017-07-21,,,
,,2017-07-28,,,
,,2017-08-04,,,
,,2017-08-11,,,
,,2017-08-18,,,
,,2017-08-25,,,
,,2017-09-01,,,
,,2017-09-08,,,
,,2017-09-15,,,
,,2017-09-22,,,
,,2017-09-29,,,
,,2017-10-13,,,
,,2017-10-20,,,
,,2017-10-27,,,
,,2017-11-03,,,
,,2017-11-10,,,
,,2017-11-17,,,
,,2017-11-24,,,
,,2017-12-01,,,
,,2017-12-08,,,
,,2017-12-15,,,
,,2017-12-22,,,
,,2017-12-29,,,
,,2018-01-05,,,
,,2018-01-12,,,
,,2018-01-19,,,
,,2018-01-26,,,
,,2018-02-02,,,
,,2018-02-09,,,
,,2018-02-14,,,
,,2018-02-23,,,
,,2018-03-02,,,
,,2018-03-09,,,
,,2018-03-16,,,
,,2018-03-23,,,
,,2018-03-30,,,
,,2018-04-04,,,
,,2018-04-13,,,
,,2018-04-20,,,
,,2018-04-27,,,
,,2018-05-04,,,
,,2018-05-11,,,
,,2018-05-18,,,
,,2018-05-25,,,
,,2018-06-01,,,
,,2018-06-08,,,
,,2018-06-15,,,
,,2018-06-22,,,
,,2018-06-29,,,
,,2018-07-06,,,
,,2018-07-13,,,
,,2018-07-20,,,
,,2018-07-27,,,
,,2018-08-03,,,
,,2018-08-10,,,
,,2018-08-17,,,
,,2018-08-24,,,
,,2018-08-31,,,
,,2018-09-07,,,
,,2018-09-14,,,
,,2018-09-21,,,
,,2018-09-28,,,
,,2018-10-12,,,
,,2018-10-19,,,
,,2018-10-26,,,
,,2018-11-02,,,
,,2018-11-09,,,
,,2018-11-16,,,
,,2018-11-23,,,
,,2018-11-30,,,
,,2018-12-07,,,
,,2018-12-14,,,
,,2018-12-21,,,
,,2018-12-28,,,
,,2019-01-04,,,
,,2019-01-11,,,
,,2019-01-18,,,
,,2019-01-25,,,
,,2019-02-01,,,
,,2019-02-15,,,
,,2019-02-22,,,
,,2019-03-01,,,
,,2019-03-08,,,
,,2019-03-15,,,
,,2019-03-22,,,
,,2019-03-29,,,
,,2019-04-04,,,
,,2019-04-12,,,
,,2019-04-19,,,
,,2019-04-26,,,
,,2019-04-30,,,
,,2019-05-10,,,
,,2019-05-17,,,
,,2019-05-24,,,
,,2019-05-31,,,
,,2019-06-06,,,
,,2019-06-14,,,
