SSE,SZSE,INTERBANK_BM,HKEX,NASDAQ,NYSE
2018-06-08,2018-06-08,2018-05-11,2018-04-27,2018-04-27,2018-04-27
2018-06-15,2018-06-15,2018-05-18,2018-05-04,2018-05-04,2018-05-04
2018-06-22,2018-06-22,2018-05-25,2018-05-11,2018-05-11,2018-05-11
2018-06-29,2018-06-29,2018-06-01,2018-05-18,2018-05-18,2018-05-18
2018-07-06,2018-07-06,2018-06-08,2018-05-25,2018-05-25,2018-05-25
2018-07-13,2018-07-13,2018-06-15,2018-06-01,2018-06-01,2018-06-01
2018-07-20,2018-07-20,2018-06-22,2018-06-08,2018-06-08,2018-06-08
2018-07-27,2018-07-27,2018-06-29,2018-06-15,2018-06-15,2018-06-15
2018-08-03,2018-08-03,2018-07-06,2018-06-22,2018-06-22,2018-06-22
2018-08-10,2018-08-10,2018-07-13,2018-06-29,2018-06-29,2018-06-29
2018-08-17,2018-08-17,2018-07-20,2018-07-06,2018-07-06,2018-07-06
2018-08-24,2018-08-24,2018-07-27,2018-07-13,2018-07-13,2018-07-13
2018-08-31,2018-08-31,2018-08-03,2018-07-20,2018-07-20,2018-07-20
2018-09-07,2018-09-07,2018-08-10,2018-07-27,2018-07-27,2018-07-27
2018-09-14,2018-09-14,2018-08-17,2018-08-03,2018-08-03,2018-08-03
2018-09-21,2018-09-21,2018-08-24,2018-08-10,2018-08-10,2018-08-10
2018-09-28,2018-09-28,2018-08-31,2018-08-17,2018-08-17,2018-08-17
2018-10-12,2018-10-12,2018-09-07,2018-08-24,2018-08-24,2018-08-24
2018-10-19,2018-10-19,2018-09-14,2018-08-31,2018-08-31,2018-08-31
2018-10-26,2018-10-26,2018-09-21,2018-09-07,2018-09-07,2018-09-07
2018-11-02,2018-11-02,2018-09-28,2018-09-14,2018-09-14,2018-09-14
,,2018-09-30,2018-09-21,2018-09-21,2018-09-21
,,2018-10-12,2018-09-28,2018-09-28,2018-09-28
,,2018-10-19,2018-10-05,2018-10-05,2018-10-05
,,2018-10-26,2018-10-12,2018-10-12,2018-10-12
,,2018-11-02,2018-10-19,2018-10-19,2018-10-19
,,,2018-10-26,2018-10-26,2018-10-26
,,,2018-11-02,2018-11-02,2018-11-02
,,,,,
